lig_gen_fit_add_SMILES,silly
CC(C)C(C)C[N+](C)(C)CO,0.3888888888888889
CCSC(C)CC(C)CC,0.3888888888888889
CNCNCC(C)C(C)C,0.3888888888888889
C=CC(O)N(CNCOCCC)C(C)=S,0.3888888888888889
C=CCCCC(OC)C(CCCC)=NCN,0.3888888888888889
CCN(C)C1NC1N,0.3888888888888889
C=C(C)OC[N+](N)(C=O)CCN(C)C,0.3870967741935484
CCCC(C)(O)NCOC(N)NCO,0.3870967741935484
CCCCCC(=O)CCC1C2OC12CC,0.3870967741935484
C=CC(CCCNC(N)CCC)N=C,0.3870967741935484
C=C1NC(CCOC)C2(C)OC2N1,0.3870967741935484
CCCNC1=CCC=C1C(CC)NCC,0.3870967741935484
CCC(C)CC1(NCO)NCC1C,0.3870967741935484
CCC(C)(CC)NC,0.38461538461538464
CC(=O)C(C)C(O)CCOCO,0.38461538461538464
CCC(C)C(C)C(C)C,0.38461538461538464
SCC1CS1,0.38461538461538464
CCN(C)N(NC(C)O)C(C)=O,0.38461538461538464
CCC(CN)C(CO)C(N)C=O,0.38461538461538464
CCC(C(N)C(CO)CCO)N(C)C,0.38461538461538464
C=CCCCC(CO)(CCNC)CC(N)NC(C)N,0.38461538461538464
CCNC(C)CC(C(C)C)N(C)CO,0.38461538461538464
CC(O)C(=O)NC(O)C(O)(CN)CN,0.38461538461538464
CCNCNC,0.38461538461538464
C=CNCCNC(CCNC)NC,0.38461538461538464
C=CCCC(N)NCC(N)NCC,0.38461538461538464
CCCN(O)CN(CC(C)CN)C(O)OCC,0.38235294117647056
CC=NC(C)CCN(C)CC1(CCC)CC1,0.38235294117647056
CC(CN)NCNCO,0.38095238095238093
CCC(CC)CCCSCO,0.38095238095238093
CCC(CCO)CC(O)C(O)CC,0.38095238095238093
CC=CC(CC)CNCC,0.38095238095238093
CC=CC(C)CNCO,0.38095238095238093
CCCOCCC(C)(C)NC,0.38095238095238093
C=C(COCCCNCC)OCNCC,0.3793103448275862
CCC(=O)CN(C)OC(N)C(C)O,0.3793103448275862
CCCC(NCCC(C)=NC)OC,0.3793103448275862
C=CNC(C)CCNCC(=C)CC,0.3793103448275862
CNC(C)CNCC1NC(C=N)N1,0.3793103448275862
CC(O)NC(CC1(C)CC1(N)N(C)C)NC=O,0.3783783783783784
C=CN(CCC)CNCCOCCCNC=O,0.3783783783783784
CCC(C)SCC(C)C,0.375
CCCC(C)=NC(C)(S)NC,0.375
C=CCN(CC)N(CC)C(C)=O,0.375
C=C(C)N(C)CNC(C)NC,0.375
CNCCOCNC,0.375
CCOC(C)SC,0.375
C=C(C)N(CCC)C[N+](C)(C)CC,0.375
CCC(CNCNC)C(C)(C)O,0.375
CC(C)C(CCN)CCCC=N,0.375
CC[N+](C)(CCO)OCNC,0.375
CCNC(O)C(C)(C=O)CC,0.375
C.C=CC1(C)SC1C(C)CC,0.375
CCCN(C1CC1)C(CC)C(C)C,0.375
CC(F)C(S)C=O,0.375
C=C1C2OCSC(CC(C)CC)C12,0.375
CN(CN)CC(CN)CNCN,0.375
COCC(C)(NC=O)N(C)C,0.375
C=CNC=CC(N)CCC,0.375
CCC(CC=O)CN(C)C(C)C,0.375
CCCC=CN(CCC(O)CNCN)C12CC1O2,0.37209302325581395
C#CCCCOCC1CC1(C)COCCC,0.37142857142857144
C=C(CCO)NCCCC(C)(N)NCNC,0.37142857142857144
CCCN(CNOC)NNCN(CC)CCCOC,0.37142857142857144
C=C1C(=N)C1(CC)C(C)NC=N,0.37037037037037035
CNC(C(C)C(C)(C)C)N(CO)CCO,0.37037037037037035
C=CCCC(CC)C1CC(CC)C1,0.37037037037037035
C=C(NC)N(C)C(CCO)C(C)C,0.37037037037037035
C=C(CC=O)C(N)=CNC(C)C,0.37037037037037035
C=CCOC(C)C(C)C(=C)C(C)=O,0.37037037037037035
CCCCCNCN(C)COCCC,0.37037037037037035
C=CNC(C)NCC(CC)NN,0.37037037037037035
CCNCCNC(CC(C)O)OC,0.37037037037037035
CNC(NC)N(C)COC,0.3684210526315789
CCOCCC(C)OC,0.3684210526315789
CCNCC(N)OC,0.3684210526315789
CCC(OC)C(C)C(C)O,0.3684210526315789
C=CCC(C)CC(C)CC,0.3684210526315789
CC(N)CC(C)C(CN)C(C)C,0.3684210526315789
CCC(C)CCC(C)(C)CC,0.3684210526315789
CCC1C(C#N)C1(C)C,0.3684210526315789
CNC(NC)C(C)(C)CCO,0.3684210526315789
CC(=N)N(C)C1NC(CCC(C)N)N1,0.36666666666666664
C=CCCC(CC)(OC)C(CC)CCC,0.36666666666666664
CCC(CCNCC(O)NCCO)C(C)O,0.36666666666666664
CCCCCC1NCC1NCNCC,0.36666666666666664
C=CC(=O)[N+](C)(CN(CCCC)C(C)OCC)NC,0.36585365853658536
CCCOC(C)C(CC)CO,0.36363636363636365
CNOCCCCC(N)CC(=O)C(C)O,0.36363636363636365
CCNCC(CC(CC)CC)NC,0.36363636363636365
CCNC(C)C(=CCNC)C(C)(N)OC,0.36363636363636365
COCOCCN(C)CN(C)C,0.36363636363636365
CCN(CC)C(C)C1(C)C2=C1C2,0.36363636363636365
C=C(C)C(=C)NCNCCC,0.36363636363636365
C#CC(C)(C(O)CC)C(C)(C)O,0.36363636363636365
C=CNCC(C)CCO,0.36363636363636365
CC=CC(C)(C)C(C)(C)CCCO,0.36363636363636365
CCCCN[N+](C)(CC)CN,0.36363636363636365
C.CNC1C=C1,0.36363636363636365
C=CCC(NC)OCC,0.36363636363636365
CCCNCN=C(C)C(CC)C(C)(O)CO,0.36363636363636365
C=C(O)C(CC)OCCC,0.36363636363636365
CCCNCNCOC(N)C(COC)NC,0.36363636363636365
CC(=N)NCCOCN,0.36363636363636365
C=C(C)CN(C)CNC(C)C(C)C,0.36
CN(C(=O)CN)C(C)(CN)CO,0.36
CCCC(C)C(O)C(C)(CC)CC(C)O,0.36
CCOCC(NCN)C(C)CC,0.36
CCN=C(C(=N)NC)C(C)CC,0.36
C=CC(=C)C(C)C(CO)OC,0.36
CNN(C)CC(O)OCCO,0.36
CCC(C(C)=O)C(C)(O)CC(C)C,0.36
CCCCCC(NC)ONCCC,0.36
CCC(C)CC(CC)CC,0.35714285714285715
C=C(C)N(CCC)C(C)NC(C)NC,0.35714285714285715
CNCCOC(O)[N+](C)(C)C1CC1,0.35714285714285715
CNCCNCNC,0.35714285714285715
CCCN(CNC)C(NCC)C(C)N,0.35714285714285715
CCN(COC)NC1(C)CC1O,0.35714285714285715
CCC(C)NC(NC)N(CC)COC,0.35714285714285715
CCCC(C)C(C)(S)N(CN)CO,0.35714285714285715
CNC(CSC)CC(C)(C)N(C)C(C)C,0.35714285714285715
CC=C(CCC)CCC,0.35714285714285715
CC(C)CC1C(C)C1CN(CN)CO,0.35714285714285715
CC(O)(CN)NCCCC(N)CO,0.35714285714285715
CC=CCCC(C)CCNC(C)=N,0.35714285714285715
CCC(O)CC(C#N)=C(C)CCO,0.35714285714285715
C=CC(C)(NCC(=N)NC)N(C)C,0.35714285714285715
CCC(C)(C)CCCNCCOCO,0.35714285714285715
CCC(=N)CCNCNCCCCCO,0.35714285714285715
C=CCN(CC)C1CC1OCOC,0.3548387096774194
COCOCC(C)(CCC=O)C(C)N,0.3548387096774194
CCN(C)C(O)CC(=O)NC(C)OC,0.3548387096774194
CCC(N)N(CO)CO,0.35294117647058826
CCCNCNCNC,0.35294117647058826
CCC1CC1(C)CC,0.35294117647058826
CNC(C)N(C)CNC1CC1CCCO,0.35294117647058826
C=C1NCOC(C)CC1(C)COCC,0.35294117647058826
CNCSC(C)N,0.35294117647058826
CC(CO)CC(C)CCO,0.35294117647058826
CCC(C)CCC(C)(C)C,0.35294117647058826
CCN(C)CN(C)C(C)C,0.35294117647058826
C=C(C)C(C)(C)C1CC1,0.35294117647058826
CNC(C)(O)C(C)N(C)COC(N)CC(C)=O,0.35135135135135137
CCC1NC(C)C1CCN(C)C(C)CC(=N)N,0.35135135135135137
CNCC(C)NC(C)OC,0.35
CNC(C)N(C)CSC,0.35
CCC(NCC(C)O)C(C)C,0.35
CCC(CCCO)SC,0.35
CCCOC(C)CC(C)CC,0.35
CCC(C)OC(C)C(C)(C)O,0.35
CCNCC(CC)C(CC)CN,0.35
CCN(C)CCCNN(C)C,0.35
C#CN(CCC)NC=O,0.34782608695652173
CCCC(CC)N(CC)CNC,0.34782608695652173
CCCC(CC)(CCN)C(=N)N,0.34782608695652173
CCOCN(CC)C(C)C(C)N,0.34782608695652173
C=C(C)C(C)CCC(=N)CC,0.34782608695652173
C=C(N)C(CC)NCNC,0.34782608695652173
C=CCC(CC)C(Cl)CO,0.34782608695652173
CCCCCNN(C)CNCCC,0.34782608695652173
CNOOCCCNC(C)C,0.34782608695652173
CCCCOCCC(O)OO,0.34782608695652173
CCNCSCNCC1CCN1,0.34615384615384615
C=CC(CCC)CC(C)(C)NCC,0.34615384615384615
CCNCN(C)CCC(C)CN,0.34615384615384615
CNCNC(C)NCCCCC(C)N,0.34615384615384615
CCCNC(C)(C)NC(C)C(C)C(C)N,0.34615384615384615
